year,test,instance,true_class,predicted_class
1990,categorization,respectful,+authority,+care
1990,categorization,serve,+authority,+care
1990,categorization,respect,+authority,+fairness
1990,categorization,bourgeoisie,+authority,+loyalty
1990,categorization,caste,+authority,+loyalty
1990,categorization,class,+authority,+loyalty
1990,categorization,leader,+authority,+loyalty
1990,categorization,leadership,+authority,+loyalty
1990,categorization,mothers,+authority,+loyalty
1990,categorization,respected,+authority,+loyalty
1990,categorization,tradition,+authority,+loyalty
1990,categorization,mother,+authority,+sanctity
1990,categorization,revere,+authority,+sanctity
1990,categorization,reverence,+authority,+sanctity
1990,categorization,commit,+authority,-care
1990,categorization,lead,+authority,-care
1990,categorization,mothering,+authority,-loyalty
1990,categorization,compliant,+authority,-sanctity
1990,categorization,deferent,+authority,-sanctity
1990,categorization,fatherly,+authority,-sanctity
1990,categorization,motherly,+authority,-sanctity
1990,categorization,obeisance,+authority,-sanctity
1990,categorization,venerate,+authority,-sanctity
1990,categorization,benefit,+care,+fairness
1990,categorization,amity,+care,+loyalty
1990,categorization,defence,+care,+loyalty
1990,categorization,defender,+care,+loyalty
1990,categorization,peace,+care,+loyalty
1990,categorization,sympathetic,+care,+loyalty
1990,categorization,compassionate,+care,+sanctity
1990,categorization,guard,+care,-care
1990,categorization,procurement,+care,-fairness
1990,categorization,pacify,+care,-sanctity
1990,categorization,sympathise,+care,-sanctity
1990,categorization,rights,+fairness,+care
1990,categorization,tolerant,+fairness,+care
1990,categorization,egalitarian,+fairness,+loyalty
1990,categorization,homologous,+fairness,+loyalty
1990,categorization,unprejudiced,+fairness,-authority
1990,categorization,justification,+fairness,-fairness
1990,categorization,justifies,+fairness,-fairness
1990,categorization,equable,+fairness,-sanctity
1990,categorization,evenness,+fairness,-sanctity
1990,categorization,justness,+fairness,-sanctity
1990,categorization,devote,+loyalty,+authority
1990,categorization,unison,+loyalty,+authority
1990,categorization,companionship,+loyalty,+care
1990,categorization,insider,+loyalty,+fairness
1990,categorization,patriot,+loyalty,-authority
1990,categorization,unite,+loyalty,-authority
1990,categorization,clique,+loyalty,-fairness
1990,categorization,communism,+loyalty,-loyalty
1990,categorization,comrade,+loyalty,-sanctity
1990,categorization,clean,+sanctity,+care
1990,categorization,innocent,+sanctity,-care
1990,categorization,abstain,+sanctity,-fairness
1990,categorization,abstention,+sanctity,-fairness
1990,categorization,abstinent,+sanctity,-sanctity
1990,categorization,limpid,+sanctity,-sanctity
1990,categorization,refined,+sanctity,-sanctity
1990,categorization,saintly,+sanctity,-sanctity
1990,categorization,sanctify,+sanctity,-sanctity
1990,categorization,sterile,+sanctity,-sanctity
1990,categorization,unadulterated,+sanctity,-sanctity
1990,categorization,disobey,-authority,+authority
1990,categorization,refuse,-authority,+authority
1990,categorization,alienate,-authority,+care
1990,categorization,dissident,-authority,+loyalty
1990,categorization,obstruct,-authority,-care
1990,categorization,riot,-authority,-care
1990,categorization,illegal,-authority,-fairness
1990,categorization,illegality,-authority,-fairness
1990,categorization,agitator,-authority,-loyalty
1990,categorization,insurgent,-authority,-loyalty
1990,categorization,disobedient,-authority,-sanctity
1990,categorization,lawless,-authority,-sanctity
1990,categorization,mutinous,-authority,-sanctity
1990,categorization,nonconformist,-authority,-sanctity
1990,categorization,remonstrate,-authority,-sanctity
1990,categorization,riotous,-authority,-sanctity
1990,categorization,unfaithful,-authority,-sanctity
1990,categorization,detriment,-care,+care
1990,categorization,detrimental,-care,+care
1990,categorization,impair,-care,+fairness
1990,categorization,warring,-care,+loyalty
1990,categorization,annihilate,-care,-authority
1990,categorization,brutal,-care,-authority
1990,categorization,wars,-care,-loyalty
1990,categorization,kills,-care,-sanctity
1990,categorization,ravage,-care,-sanctity
1990,categorization,spurn,-care,-sanctity
1990,categorization,warlord,-care,-sanctity
1990,categorization,preference,-fairness,+authority
1990,categorization,exclusive,-fairness,+fairness
1990,categorization,dishonest,-fairness,-authority
1990,categorization,unjust,-fairness,-authority
1990,categorization,unscrupulous,-fairness,-authority
1990,categorization,bigot,-fairness,-sanctity
1990,categorization,discriminator,-fairness,-sanctity
1990,categorization,disproportion,-fairness,-sanctity
1990,categorization,dissociate,-fairness,-sanctity
1990,categorization,favoritism,-fairness,-sanctity
1990,categorization,prejudge,-fairness,-sanctity
1990,categorization,foreign,-loyalty,+loyalty
1990,categorization,immigrant,-loyalty,+loyalty
1990,categorization,individual,-loyalty,+loyalty
1990,categorization,immigrate,-loyalty,-authority
1990,categorization,spy,-loyalty,-authority
1990,categorization,terror,-loyalty,-authority
1990,categorization,deception,-loyalty,-care
1990,categorization,enemy,-loyalty,-care
1990,categorization,terrorist,-loyalty,-care
1990,categorization,deceptive,-loyalty,-fairness
1990,categorization,personhood,-loyalty,-fairness
1990,categorization,deceive,-loyalty,-sanctity
1990,categorization,miscreant,-loyalty,-sanctity
1990,categorization,personify,-loyalty,-sanctity
1990,categorization,renegade,-loyalty,-sanctity
1990,categorization,exploit,-sanctity,+authority
1990,categorization,sick,-sanctity,+care
1990,categorization,lax,-sanctity,+fairness
1990,categorization,profane,-sanctity,+sanctity
1990,categorization,prostitute,-sanctity,+sanctity
1990,categorization,stain,-sanctity,+sanctity
1990,categorization,whore,-sanctity,+sanctity
1990,categorization,desecration,-sanctity,-authority
1990,categorization,obscenity,-sanctity,-authority
1990,categorization,disease,-sanctity,-care
1990,categorization,repulse,-sanctity,-care
1990,categorization,exploitation,-sanctity,-fairness
1990,categorization,gross,-sanctity,-fairness
1990,categorization,obscene,-sanctity,-fairness
1990,null_test,abstinent,moral,neutral
1990,null_test,agitate,moral,neutral
1990,null_test,agitator,moral,neutral
1990,null_test,award,moral,neutral
1990,null_test,balance,moral,neutral
1990,null_test,battle,moral,neutral
1990,null_test,bigot,moral,neutral
1990,null_test,cadre,moral,neutral
1990,null_test,clean,moral,neutral
1990,null_test,clique,moral,neutral
1990,null_test,cohort,moral,neutral
1990,null_test,command,moral,neutral
1990,null_test,companion,moral,neutral
1990,null_test,compliant,moral,neutral
1990,null_test,constant,moral,neutral
1990,null_test,contaminate,moral,neutral
1990,null_test,corruptible,moral,neutral
1990,null_test,deferent,moral,neutral
1990,null_test,dirt,moral,neutral
1990,null_test,discriminative,moral,neutral
1990,null_test,discriminator,moral,neutral
1990,null_test,disproportion,moral,neutral
1990,null_test,equable,moral,neutral
1990,null_test,equivalent,moral,neutral
1990,null_test,evenness,moral,neutral
1990,null_test,fairly,moral,neutral
1990,null_test,fatherly,moral,neutral
1990,null_test,filth,moral,neutral
1990,null_test,gross,moral,neutral
1990,null_test,group,moral,neutral
1990,null_test,guild,moral,neutral
1990,null_test,hierarchical,moral,neutral
1990,null_test,homologous,moral,neutral
1990,null_test,insurgent,moral,neutral
1990,null_test,joint,moral,neutral
1990,null_test,lead,moral,neutral
1990,null_test,limpid,moral,neutral
1990,null_test,maiden,moral,neutral
1990,null_test,motherly,moral,neutral
1990,null_test,mutinous,moral,neutral
1990,null_test,obeisance,moral,neutral
1990,null_test,permission,moral,neutral
1990,null_test,personify,moral,neutral
1990,null_test,prejudge,moral,neutral
1990,null_test,pristine,moral,neutral
1990,null_test,procurement,moral,neutral
1990,null_test,profligate,moral,neutral
1990,null_test,ravage,moral,neutral
1990,null_test,rebuff,moral,neutral
1990,null_test,reciprocal,moral,neutral
1990,null_test,refined,moral,neutral
1990,null_test,repulse,moral,neutral
1990,null_test,revere,moral,neutral
1990,null_test,riotous,moral,neutral
1990,null_test,saint,moral,neutral
1990,null_test,saintly,moral,neutral
1990,null_test,shield,moral,neutral
1990,null_test,slut,moral,neutral
1990,null_test,spurn,moral,neutral
1990,null_test,spy,moral,neutral
1990,null_test,stain,moral,neutral
1990,null_test,sterile,moral,neutral
1990,null_test,sterility,moral,neutral
1990,null_test,sympathise,moral,neutral
1990,null_test,tarnish,moral,neutral
1990,null_test,together,moral,neutral
1990,null_test,tramp,moral,neutral
1990,null_test,unadulterated,moral,neutral
1990,null_test,unbiased,moral,neutral
1990,null_test,venerate,moral,neutral
1990,null_test,virgin,moral,neutral
1990,null_test,warlord,moral,neutral
1990,null_test,wound,moral,neutral
1990,null_test,capricious,neutral,moral
1990,null_test,circumstance,neutral,moral
1990,null_test,circumvent,neutral,moral
1990,null_test,contender,neutral,moral
1990,null_test,context,neutral,moral
1990,null_test,convene,neutral,moral
1990,null_test,convention,neutral,moral
1990,null_test,customary,neutral,moral
1990,null_test,depend,neutral,moral
1990,null_test,diagnose,neutral,moral
1990,null_test,figment,neutral,moral
1990,null_test,financial,neutral,moral
1990,null_test,forge,neutral,moral
1990,null_test,franchise,neutral,moral
1990,null_test,indication,neutral,moral
1990,null_test,induce,neutral,moral
1990,null_test,insistence,neutral,moral
1990,null_test,interstate,neutral,moral
1990,null_test,invisible,neutral,moral
1990,null_test,minister,neutral,moral
1990,null_test,multitude,neutral,moral
1990,null_test,ought,neutral,moral
1990,null_test,pact,neutral,moral
1990,null_test,pagan,neutral,moral
1990,null_test,piety,neutral,moral
1990,null_test,preposterous,neutral,moral
1990,null_test,priesthood,neutral,moral
1990,null_test,principle,neutral,moral
1990,null_test,psyche,neutral,moral
1990,null_test,relentless,neutral,moral
1990,null_test,repose,neutral,moral
1990,null_test,ruler,neutral,moral
1990,null_test,tempt,neutral,moral
1990,null_test,testament,neutral,moral
1990,polarity,alienate,neg,pos
1990,polarity,bias,neg,pos
1990,polarity,corruptible,neg,pos
1990,polarity,defiance,neg,pos
1990,polarity,detriment,neg,pos
1990,polarity,detrimental,neg,pos
1990,polarity,discriminative,neg,pos
1990,polarity,disobedient,neg,pos
1990,polarity,dissent,neg,pos
1990,polarity,exclusion,neg,pos
1990,polarity,exclusive,neg,pos
1990,polarity,exploit,neg,pos
1990,polarity,foreign,neg,pos
1990,polarity,gross,neg,pos
1990,polarity,immigrant,neg,pos
1990,polarity,immigrate,neg,pos
1990,polarity,individual,neg,pos
1990,polarity,insurgent,neg,pos
1990,polarity,lax,neg,pos
1990,polarity,personhood,neg,pos
1990,polarity,preference,neg,pos
1990,polarity,prostitute,neg,pos
1990,polarity,refuse,neg,pos
1990,polarity,sick,neg,pos
1990,polarity,unequal,neg,pos
1990,polarity,unfaithful,neg,pos
1990,polarity,warring,neg,pos
1990,polarity,whore,neg,pos
1990,polarity,abstain,pos,neg
1990,polarity,abstention,pos,neg
1990,polarity,abstinent,pos,neg
1990,polarity,bourgeoisie,pos,neg
1990,polarity,chaste,pos,neg
1990,polarity,clique,pos,neg
1990,polarity,commit,pos,neg
1990,polarity,communism,pos,neg
1990,polarity,compliant,pos,neg
1990,polarity,comrade,pos,neg
1990,polarity,deferent,pos,neg
1990,polarity,equable,pos,neg
1990,polarity,evenness,pos,neg
1990,polarity,fatherly,pos,neg
1990,polarity,indifference,pos,neg
1990,polarity,innocent,pos,neg
1990,polarity,insider,pos,neg
1990,polarity,justifiable,pos,neg
1990,polarity,justifies,pos,neg
1990,polarity,justness,pos,neg
1990,polarity,limpid,pos,neg
1990,polarity,mothering,pos,neg
1990,polarity,obeisance,pos,neg
1990,polarity,pacify,pos,neg
1990,polarity,revere,pos,neg
1990,polarity,saintly,pos,neg
1990,polarity,sanctify,pos,neg
1990,polarity,shield,pos,neg
1990,polarity,sterile,pos,neg
1990,polarity,sympathise,pos,neg
1990,polarity,unadulterated,pos,neg
1990,polarity,unprejudiced,pos,neg
1990,polarity,venerate,pos,neg
1990,polarity,virgins,pos,neg
