corpus,model,categorization,polarity,null_test
ngrams,centroid,0.59,0.9,0.84
ngrams,nb,0.53,0.89,0.84
ngrams,knn_1,0.53,0.88,0.8
ngrams,knn_5,0.57,0.93,0.83
ngrams,knn_10,0.61,0.91,0.83
ngrams,knn_15,0.58,0.89,0.84
ngrams,kde,0.57,0.9,0.82
coha,centroid,0.4,0.8,0.78
coha,nb,0.39,0.78,0.76
coha,knn_1,0.32,0.76,0.74
coha,knn_5,0.33,0.75,0.74
coha,knn_10,0.33,0.8,0.81
coha,knn_15,0.37,0.74,0.8
coha,kde,0.33,0.76,0.8
nyt,centroid,0.2,0.56,0.62
nyt,nb,0.16,0.49,0.57
nyt,knn_1,0.22,0.63,0.72
nyt,knn_5,0.21,0.53,0.76
nyt,knn_10,0.21,0.6,0.77
nyt,knn_15,0.23,0.6,0.75
nyt,kde,0.1,0.44,0.54
